vast		a.巨大的,广大的,非常的  
assembly	n.与会者,集会,装配,组件  
academic	a. 学院的, 学术的, 不切实际的 n. 大学生, 大学教师, 学者  
conference	n.会议  
autumn		n.秋天,成熟期  
remain		vi.保持,逗留,剩余  
exhilarated	vt.使高兴,使愉快,鼓励  
audacity	n.大胆,厚颜无耻  
brief		n.摘要,简报 a.简短的 vt.摘要  
climate		n.气候,社会趋势,气候区  
boundary	n.边界,分界线  
burst		n.破裂,爆发 vt/vi.爆裂,突发,充满  
expand		vt.扩张, 展开 vi.展开, 张开 发展  
constituted	vt.构成,组成,任命  
proof		n.证据,证明 a.不能投入的 vt.检验,试验,校对  
neighborhood  n.附近,邻近  
tiny		a.很少的,微小的  
fragment	n.碎片,片段  
restrictive	a.限制的,约束的,限定的  
charged		a.充满强烈感情的,气氛紧张的  
chain		n.链,束缚  vt.束缚,囚禁  
accumulate 	vt.积聚,堆积 vi  
acquired	a.获得的,后天的  
derive		vt.得自 vi.起源  
marvelous	a.令人惊异的,了不起的,不平常的  
cross		n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交  
border		n.边界,边缘 vt.接近 vi.接界,近似  
provisional a.暂时的,暂定的,临时的  
absolute	a.绝对的,专制的,独立的 n.绝对事物  
arguable	a.可辩论的,可论证的  
nevertheless ad.然而,虽然如此  conj.然而  
advantage	n.优点,便利,好处 vt.有助于  
mental		n.金属,本质 a.金属制的 vt.以金属覆盖  
react		vi.起反应,起作用,反攻  
insult		n.侮辱,无礼,损害 vt.损害,侮辱,攻击  
formulation  n.系统陈述,公式化,配制  
offend		vt.犯罪,冒犯,违反,进攻 vi  
trucks		n.卡车 vt.交往,对...进行交易 vi.驾驶卡车,以物易物  
stradone	n.跨坐,观望 vt.跨坐,观望 vi    
--- 
reserved	a.保留的, 预备的, 预定的, 腼腆的,  
trepidation	n.恐惧, 惊惶, 忧虑  
cling		vi.粘紧, 附着, 紧贴, 坚持  
force		n.力，力量 v.迫使，强迫  
luxury		n.豪华，奢侈，丰富  
border		n.边界，边境  
tone		n.音调  
disturbing	adj.烦扰的  
attentively	adv.注意的 carefully  
whisper		v.耳语  
ironic		adj.滑稽的，挖苦的  
comment		v.评论，注解  
participant 	n.参加者  
reputation	n.声誉，名誉  
scholar		n.学者  
mobility	n.可动性，流动性  
restaurant	n.餐厅，饭店  
abandoned	adj.弃，废  
polemical	adj.争论的  
tactfully	adv.婉转  
barriers	n.屏障，阻碍  
established	adj.既定，公认，悠久  
engaging	adj.优胜  
demeanor	n.风度  
excellent	adj.优秀，卓越  
converse	v/n.交谈，通话 	  
devotion	n.忠诚，忠心  
fill		v.填，满足，充，弥漫  
pride 		v/n.自豪  
abruptly	adv.突然，猛然  
aloof		adj.超然  adv.远离，离开  
overwhelme	v.不堪重负，压倒，覆没  	
disparage	v.贬损，蔑视，贬，作践  
prepared	adj.将，准备  
distracted	adj.分心，楞，发疯  
urging		v.催，督促，敦促  
frightened	adj.受惊，悚  
dull		adj.平淡，枯燥  
praise		v.赞美，称赞		  
practiced	adj.练，熟练，精明  
warmth		n.热情，暖和，和蔼  
applaud		v.叫好，鼓掌，赞同  
halting		v.暂停，停止，停顿  
institution	n.机构，机制，学院  
suffocating	v.窒息  
spouse		n.配偶，爱人  
bushy		adj.浓密的，灌木一样茂密的  
pale		adj.苍白  n.桩，范围  
blond		n.金发  adj.淡黄发，明亮的  
mustache	n.胡子  
lip			n.嘴唇  
sharply		adv.大幅，截然，厉害地  
elegance	n.优雅，高雅  
---
underlying	底层  
shallow		浅  
populate	填充  
opaque		adj.不透明的  
trim		v.修建,修整  adj.整齐的  n.准备，准备的程度  
bundle		n.束  v.捆  
sane 		adj.明智的，合理的  
convert		v.转换，变换  
prepare 	v.准备，预备  
syntax 		n.句法  
interpolate v.插  
slate		v.预计  
removal		n.切除，输出  
alternate	adj.备用，轮流的  v.轮流，交流  
combine		v.结合，合并，联合  
case insensitivity 不区分大小写  
insensitivity	麻木不仁  
insensitiveness	n.不敏感  
inheritance		n.遗产，承受，继承权  
invoke		v.调用，呼吁  
override	v.覆盖，废除  
individual	adj\n.个人，个体  
interpolation	n.差值  
preserve	v.保留，保存，保护  
expose		v.暴露，露出  
internal	adj.内部，内置  
envelope	n.信封  
wrap		v.包裹，包，  
marshalling	n.编组  
convenience	n.方便，便利  
functionally	功能  
explicit	adj.明确的，精  
expression	n.表达，表达式  
attach		v.连接  
implement	v.实现  
distinct	adj.不同，明显  
urgent		adj.紧急，迫切，紧迫  
concrete	adj.具体，实际  
synthesize	v.综合类，合成, 综合  
scheme		n.方案，格式, 图  
declaration	n.声明，宣言  
flat 		n.\adj. 平面\平坦的，平的  
